"name","en_name","price:","net_price","discount_percent","review_count","review_rate",subcategory_name
"데이비스 카운티 프렌치 캐스크","Daviess County French Cask","135000","null","0","3","5","아메리칸(버번)"
"밀크앤허니 에이펙스 사해","MILK & HONEY APEX Dead Sea","310000","null","0","3","5","싱글몰트"
"밀크앤허니 에이펙스 석류","MILK & HONEY APEX Pomegranate Wine Cask","267000","null","0","1","5","싱글몰트"
"밀크앤허니 크리스마스 에디션","MILK & HONEY Christmas Edition","170000","null","0","1","1","싱글몰트"
"스페이번 10년","Speyburn 10yo","59900","null","0","28","4.3","싱글몰트"
"올드 풀트니 12년","Old Pulteney 12yo","107000","null","0","5","4.8","싱글몰트"
"올드 풀트니 15년","Old Pulteney 15yo","240000","null","0","3","4.7","싱글몰트"
"올드 풀트니 18년","Old Pulteney 18yo","370000","null","0","0","0","싱글몰트"
"맥네어스 럼 릭 블렌디드 몰트 12년","Macnair's Lum Reek Blended Malt 12yo","127000","null","0","23","4.4","블렌디드 몰트"
"맥네어스 럼 릭 블렌디드 몰트 21년","Macnair's Lum Reek Blended Malt 21yo","380000","null","0","6","3.5","블렌디드 몰트"
"딩글 싱글몰트 위스키 배치 6","Dingle Single Malt Whiskey Batch 6","162000","null","0","5","3.8","싱글몰트"
"아녹 12년","anCnoc 12yo","105000","null","0","103","4.7","싱글몰트"
"모엣 샹동 임페리얼","Moet & Chandon Imperial","81000","null","0","12","4.8","스파클링 와인"
"발블레어 12년","Balblair 12yo","140000","null","0","4","4.5","싱글몰트"
"화이트 헤더 15년","White Heather 15yo","179000","null","0","3","4.3","블렌디드"
"[주류상회be강릉점에서 시음, 바이알 가능!!] 더 글렌그란트 15년 배치 스트렝스","The Glen Grant 15yo Batch Strength","147000","null","0","250","4.9","싱글몰트"
"봄베이 사파이어 700ml","Bombay Sapphire 700ml","38500","null","0","0","0","진"
"버팔로 트레이스","Buffalo Trace","48000","null","0","268","4.7","아메리칸(버번)"
"그랑 마르니에","Grand Marnier","49000","null","0","6","5",""
"드럼브이","Drambuie","50000","null","0","2","5",""
"발베니 툰 1509 배치 8","Balvenie Tun 1509 Batch No. 8","1330000","null","0","0","0","싱글몰트"
"와일드 터키 13년","Wild Turkey 13yo","129000","null","0","16","4.9","아메리칸(버번)"
"발베니 툰 1509 배치 8","Balvenie Tun 1509 Batch No. 8","1330000","null","0","0","0","싱글몰트"
"[♥️배치9~~*] 글렌알라키 10년 CS 배치 9","GlenAllachie 10yo Cask Strength Batch 9","210000","null","0","30","4.9","싱글몰트"
"시바스 리갈 18년 750ml","Chivas Regal 18yo 750ml","130000","null","0","0","0","블렌디드"
"산토리 가쿠빈 & 오켄토션 12년","Suntory Kakubin & Auchentoshan 12yo","95000","null","0","2","5",""
"산토리 가쿠빈 & 파쏘아","Suntory Kakubin & Passoa","70000","null","0","3","5","블렌디드"
"산토리 가쿠빈 & 네이키드 몰트","Suntory Kakubin & Naked Malt","99000","null","0","0","0",""
